gene,mean_coef,std_coef,pathway
BCAR3,0.0141568672843565,0.00936576164005742,Oxidative phosphorylation
SNRNP48,0.0143353747475713,0.00477434896668097,Oxidative phosphorylation
GNB1L,0.0150457303558956,0.00730248274900684,Oxidative phosphorylation
COQ4,0.0152087182229368,0.00151314780511895,Oxidative phosphorylation
FOXK1,0.0157448416232296,0.00194778778463545,Oxidative phosphorylation
PDCD6IP,0.0158756424114832,0.00359845718954659,Oxidative phosphorylation
COASY,0.016332559438303,0.000377800060505195,Oxidative phosphorylation
MICOS13,0.0164140065930928,0.000583299288679541,Oxidative phosphorylation
CAMKK2,0.016669256500196,0.00703836172510846,Oxidative phosphorylation
KMT2B,0.0172279087405791,0.00633742176386772,Oxidative phosphorylation
DYNLT4,0.0173617668323844,0.00845221152560862,Oxidative phosphorylation
NDUFS1,0.0174468928271009,0.0013660471380438,Oxidative phosphorylation
GIGYF1,0.0180218009361823,0.00990774598255186,Oxidative phosphorylation
CRTC3,0.0187927327005661,0.00285288022284359,Oxidative phosphorylation
MCMBP,0.0192462193845188,0.00590833925672782,Oxidative phosphorylation
LHX5,0.0195506645727672,0.0114811107974691,Oxidative phosphorylation
CCNF,0.0201595642268492,0.00216408992120556,Oxidative phosphorylation
NDUFB8,0.0212961182771164,0.00114669219755533,Oxidative phosphorylation
TXN,0.0218515643648611,0.00604526656244068,Oxidative phosphorylation
DDIT3,0.0236109624618105,0.00602889146197311,Oxidative phosphorylation
DNM1L,0.0246897096841419,0.00167453111407598,Oxidative phosphorylation
TFRC,0.0262842429784062,0.00119401111408409,Oxidative phosphorylation
RBBP8,0.0294138021424235,0.00197252953640911,Oxidative phosphorylation
KPNA2,0.0296143166440466,0.00543543423671662,Oxidative phosphorylation
TEDC2,0.0297990547658853,0.0041413589836077,Oxidative phosphorylation
TAF5L,0.0307956328434138,0.000381156324629189,Oxidative phosphorylation
ITGAV,0.0308200720845183,0.000782159688198988,Oxidative phosphorylation
UBALD2,0.0315989662812208,0.00106172789149926,Oxidative phosphorylation
C1orf43,0.0321012452157753,0.0029147384315909,Oxidative phosphorylation
MIX23,0.0321948929484109,0.00737867800943867,Oxidative phosphorylation
ATIC,0.0370422859116721,0.00260658273353831,Oxidative phosphorylation
EP300,0.0384393165382204,0.00122500470224631,Oxidative phosphorylation
BPTF,0.0424412623742772,0.00360798682893769,Oxidative phosphorylation
EIF3M,0.0425633540680427,0.00119863731322222,Oxidative phosphorylation
FERMT2,0.0436977645700658,0.0030089575745582,Oxidative phosphorylation
DSCC1,0.0438599370615966,0.00517543777722924,Oxidative phosphorylation
