"","gene","mean_coef","std_coef"
"101","SRFBP1",0.0199707091793093,0.00206002119309246
"105","TAF6L",0.0209844470979426,0.00179044941672113
"115","WRN",0.0216133160117014,0.00175541257878182
"21","COX7C",0.0219204644540483,0.00111590056320194
"72","NKAP",0.0224176313964817,0.00602549744735115
"28","DHFRL1",0.0225389912653751,0.00542078896010309
"38","FDFT1",0.0231771131446241,0.00573304589917825
"45","GRAP",0.0234177777814114,0.00504195019538089
"66","NAMPT",0.023491936163791,0.000959396224260304
"62","MRPL48",0.0259363668649831,0.00356103566564787
"2","ACIN1",0.0280796221939863,0.00221004111315664
"41","FPGS",0.0293109499509943,0.00409806589765275
"147","FAM50B",0.0294103253957703,0.0169497330810354
"24","CYP2C9",0.0297595924785715,0.00535994925642449
"112","WDR59",0.0297942798717183,0.00399936743268385
"61","MRPL43",0.0302934599423136,0.00111938659765019
"109","TMEM194B",0.0322602336700194,0.00514532599750495
"47","HDAC1",0.0325428559203543,0.00227659917168316
"18","CCDC101",0.0342538403132952,0.00458206052779787
"31","DPH3",0.0382535041668507,0.00271072936555199
"107","TINF2",0.044439497195402,0.00291167713559745
"59","MCL1",0.0445947529929525,0.00124225192548521
"100","SPDEF",0.0447788017581705,0.00385120021703619
"90","RNF146",0.050954423521899,0.00947674461062304
"51","IPCEF1",0.0552408935546758,0.0147235508242175
"15","C20orf197",0.0556561284354594,0.00802318970475007
"14","C1orf86",0.063240295828716,0.0148257463474898
"102","STK11",0.0664223168289458,0.0035555835041416
"58","MAPKAP1",0.0696159727974817,0.00184134733663635
"94","SAT2",0.0782997407915854,0.0144341817779801
"4","ADAMTSL4",0.0993938703552069,0.00537726783290375
"40","FOXA1",0.0994318398983575,0.00369387029532847
"10","ATP6V0C",0.102207685510324,0.00996193927935267
