StrippedCellLineName,Cancer_Type,mean_zscore,OXPHOS_state,EFR3A,MRPL58,EP300,ITGAV,TAFAZZIN,DNM1L,COQ4,NDUFC2,MICOS10,RAB6A,MYH9,TIPARP,CFLAR,SPTSSA,NDUFS1,SNAP23,RRAGC,ARHGEF7,CDK6,TRAF2,NCKAP1,STAMBP,COASY,ZFP36L1,ENO1,NDUFB8,FERMT2,APC,ARID1A,BRAF,CREBBP,FAT1,KMT2D,KRAS,NF1,PIK3CA,PTEN,TP53
SUM159PT,InvasiveBreastCarcinoma,-0.245469220291853,OXPHOS_low,0.907760274065996,0.487865156478155,0.184381530282513,1,0.0295535568165472,0.285502677906694,0.0747491645555518,0.189331950618391,0.161673350534707,0.310571811144664,0.670391039275982,0.301290818798549,1,0.318410348375052,0.130797316771845,0.998254955210326,0.782737226574428,0.355094457213261,0.112350904179505,0.163446906101628,0.874970852392564,0.289874982141507,0.295573360372776,0.0869137618913882,0.12181981536785,0.380699398468473,0.960127544193753,0,0,0,0,0,0,0,0,1,0,0
SUM185PE,InvasiveBreastCarcinoma,-0.378290919893353,OXPHOS_low,0.224820604525803,0.210803551785087,0.191960125583989,0.272985800562802,0.0842784655899757,0.0571740647153546,0.78032236063361,0.817718633182265,0.723394462218425,0.71454346264522,0.4240409871754,0.0240396093349296,0.460854070609966,0.0306281671644024,0.247516412237575,0.958915824133753,0.586885919072342,0.0522551397585983,0.293823410198049,0.446165142428827,0.856500155837049,0.888218749079687,0.187975619769076,0.0362981049327086,0.0113277914631651,0.901806149811505,0.283378653204171,0,0,0,0,0,0,0,0,1,0,1
SUM190PT,InvasiveBreastCarcinoma,0.378993151693755,OXPHOS_high,0.371604021905243,0.642331096048399,0.0074929573219069,0.349043681836981,0.936355030549172,0.965138687175777,0.977008837079489,0.844009291573337,0.949581494881447,0.092811230174792,0.832539508795404,0.0353207956901594,0.728219960120796,0.227455171267894,0.967283575422548,0.312133531127315,0.115249247302364,0.0241524346970635,0.057344086775386,0.783464958454823,0.0719461186866823,0.129959762734413,0.586355448368441,0.423915804767445,0.121038325069951,0.770514132532952,0.440034614534476,0,0,0,0,0,0,0,0,1,0,1
SUM229PE,InvasiveBreastCarcinoma,-0.671871969000923,OXPHOS_low,0.942259240292369,0.14846680757601,0.0274311394030333,0.42368701645901,0.240331520806001,0.228690058430689,0.0867916432889845,0.140513538591994,0.0340103774965269,0.897544786931967,0.814109438046831,0.729985212291524,0.999899880854316,0.373657097188045,0.0879860864612481,0.838885778941841,0.560670776902569,0.952281657291531,0.851999361430971,0.443345606309244,0.455375023628008,0.694294416901258,0.377996185156152,0.438412947224802,0.269432749676644,0.0903551144562614,0.12095664556868,0,0,0,0,0,0,1,0,0,0,1
SUM52PE,InvasiveBreastCarcinoma,0.338344418458412,OXPHOS_high,0.0760995110375728,0.469080443553087,0.7016380220685,0.12568982477018,0.103488227924354,0.982842855122026,0.133277432680505,0.0524748570309502,0.0773848524643227,0.312247950883535,0.596401494270008,0.0545165210312041,0.97880106893237,0.0789933544527841,0.0113754207582651,0.891059068001595,0.225240246271179,0.0129299971159866,0.417756509930116,0.881054387844037,0.0457827350745305,0.289805343219773,0.14564025617605,0.0151468712612888,0.0221904048936239,0.0757875085586663,0.523147537921602,0,1,0,0,0,0,0,0,0,0,1
SW1088,DiffuseGlioma,0.228623132428602,OXPHOS_high,0.0504456466023317,0.200499543722382,0.331772072651275,0.962463680341191,0.234075500556456,0.907757597393123,0.411791820478004,0.252430232354686,0.111873340029366,0.0523564000183731,0.951921549273484,0.280273363178371,0.962838312423448,0.403942603969038,0.146165557865979,0.0495557881244861,0.296740488379389,0.148162799438006,0.830877050450457,0.0594327042376067,0.837637925500731,0.163421621072147,0.858559279483368,0.354658738727654,0.54815128411862,0.060558179138369,0.999973155041484,0,0,0,1,0,0,0,0,0,0,1
SW1116,ColorectalAdenocarcinoma,-1.09118698303056,OXPHOS_low,0.98579860778484,0.602867202728677,0.0003429159253277,0.496720577475578,0.574430801791763,0.247710476608691,0.722824470219076,0.430521217175797,0.110292373652574,0.988148800742919,0.0488316212457561,0.375022830363854,0.983436142611739,0.945940390421268,0.306995146166814,1,0.461512613264804,0.657126635895522,0.655530673655275,0.026403005818145,0.988381466291974,0.168612352405736,0.783051529718644,0.213154212904547,0.827614388663174,0.272565898017944,0.168582421925661,1,0,0,0,0,0,1,0,0,0,0
SW1463,ColorectalAdenocarcinoma,0.294476951141393,OXPHOS_high,0.727739008866759,0.248919497845911,0.0006358628845748,0.878045662913647,0.175534009660053,0.668430903691936,0.114673705399273,0.0470194569273961,0.211173319426174,0.0639040553688138,0.9869475256389,0.49366134283548,1,0.0916835915048904,0.0074095488944897,0.975773224711577,0.0688722197071728,0.238640796294555,0.0140986680168091,0.802655847971028,0.971769543537467,0.978949183952582,0.879197053957089,0.517377044669716,0.587416754880271,0.0406570075138254,0.119704608918693,1,0,0,0,0,0,1,0,0,0,1
SW156,RenalCellCarcinoma,0.571272221282535,OXPHOS_high,0.0292446341658927,0.892871772411206,0.0085532212669168,0.892339417728654,0.718176636104715,0.825693684967623,0.965596978331694,0.711377010090795,0.364919875573076,0.208060258898876,0.560839465129255,0.388343121946636,0.981445511348743,0.159311454050101,0.91878981900956,0.30680879484411,0.0464219105116899,0.0194630141073238,0.761224949054263,0.0022375710382234,0.117060464246708,0.562494157163933,0.0099006493212291,0.952679241285776,0.0046202571479652,0.88697435028697,0.977145955494044,0,0,0,0,0,0,0,0,0,1,0
SW1573,Non-SmallCellLungCancer,0.324522968940762,OXPHOS_high,0.0235359221078162,0.817085315670511,0.0081423744934913,1,0.284791216422942,0.948773556762232,0.879267250983849,0.844009754722602,0.636254639774012,0.0213620787080073,0.713220156847726,0.0329941448368219,0.960812428227118,0.298900889975499,0.921337644061728,1,0.269979545899755,0.019228564280357,0.85050347251525,0.0035003150304752,0.404145371378359,0.129988472176077,0.199221526458116,0.679491508866501,0.0086848398739097,0.882277366485627,0.910534925299046,0,0,0,0,0,0,1,0,1,0,0
